Measurement file: 	20240823_SiO2NPs_2024_ILUM (1)
Record no: 	 70
Sample name: 	SiO2NPs_6ml_agua 3


Times (us)	ACF Data
 .5	 .856333434581757
 1	 .866446971893311
 1.5	 .86286336183548
 2	 .862653493881226
 2.5	 .859444797039032
 3	 .857308387756348
 3.5	 .854952096939087
 4	 .85350513458252
 4.5	 .850825071334839
 5.5	 .846735775470734
 6.5	 .843563914299011
 7.5	 .838572323322296
 8.5	 .835718810558319
 9.5	 .831283390522003
 10.5	 .82697194814682
 11.5	 .822547316551209
 12.5	 .819580614566803
 14.5	 .810946047306061
 16.5	 .803552329540253
 18.5	 .796512722969055
 20.5	 .788465797901154
 22.5	 .780602037906647
 24.5	 .773205757141113
 26.5	 .765066206455231
 28.5	 .757990896701813
 32.5	 .743524134159088
 36.5	 .729717195034027
 40.5	 .715791881084442
 44.5	 .701950311660767
 48.5	 .689018249511719
 52.5	 .675306975841522
 56.5	 .662896752357483
 60.5	 .650365173816681
 68.5	 .625835359096527
 76.5	 .602163136005402
 84.5	 .579817235469818
 92.5	 .558073937892914
 100.5	 .537244915962219
 108.5	 .517026305198669
 116.5	 .497891545295715
 124.5	 .479447335004807
 140.5	 .445180982351303
 156.5	 .413208216428757
 172.5	 .38364252448082
 188.5	 .356420248746872
 204.5	 .331245839595795
 220.5	 .307994455099106
 236.5	 .286650985479355
 252.5	 .266940504312515
 284.5	 .230977237224579
 316.5	 .200536221265793
 348.5	 .173853188753128
 380.5	 .150833070278168
 412.5	 .130350843071938
 444.5	 .112905651330948
 476.5	 9.83917117118835E-02
 508.5	 .086165726184845
 572.5	 6.56583309173584E-02
 636.5	 5.06794229149818E-02
 700.5	 3.92276421189308E-02
 764.5	 3.09044513851404E-02
 828.5	 2.39540077745914E-02
 892.5	 1.79203301668167E-02
 956.5	 1.29672642797232E-02
 1020.5	 9.55540686845779E-03
 1148.5	 4.84445597976446E-03
 1276.5	 3.24273575097322E-03
 1404.5	 2.6552660856396E-03
 1532.5	 1.69602164532989E-03
 1660.5	 1.37550756335258E-03
 1788.5	 2.88830080535263E-04
 1916.5	 3.74098861357197E-04
 2044.5	 2.61019659228623E-03
 2300.5	 4.4891401194036E-03
 2556.5	 3.24873579666018E-03
 2812.5	 4.51815593987703E-03
 3068.5	 1.43541561556049E-04
 3324.5	 0
 3580.5	 0
 3836.5	 0
 4092.5	 0
 4604.5	 2.35182326287031E-03
 5116.5	 4.70232916995883E-03
 5628.5	 3.25568928383291E-03
 6140.5	 0
 6652.5	 0
 7164.5	 2.86169839091599E-03
 7676.5	 7.19201285392046E-04
 8188.5	 0
 9212.5	 0
 10236.5	 0
 11260.5	 0
 12284.5	 0
 13308.5	 1.68675079476088E-03
 14332.5	 2.43344204500318E-03
 15356.5	 2.57459166459739E-03
 16380.5	 3.15897137625143E-04
 18428.5	 0
 20476.5	 0
 22524.5	 0
 24572.5	 0
 26620.5	 0
 28668.5	 0
 30716.5	 3.92063986510038E-04
 32764.5	 9.83590580290183E-05
 36860.5	 1.57595772179775E-04
 40956.5	 0
 45052.5	 2.52862297929823E-03
 49148.5	 1.45381141919643E-04
 53244.5	 1.36241826112382E-04
 57340.5	 0
 61436.5	 0
 65532.5	 3.28661881212611E-05
 73724.5	 3.70050373021513E-04
 81916.5	 3.88370943255723E-04
 90108.5	 1.65469580679201E-04
 98300.5	 2.8672709595412E-04
 106492.5	 0
 114684.5	 0
 122876.5	 0
 131068.5	 1.04504841146991E-04
 147452.5	 9.73755777522456E-06
 163836.5	 9.22233273740858E-04
 180220.5	 8.05434363428503E-04
 196604.5	 4.53845219453797E-04
 212988.5	 2.41440502577461E-04
 229372.5	 0
 245756.5	 6.54877978377044E-04
 262140.5	 2.46373849222437E-04
 294908.5	 0
 327676.5	 6.0881074750796E-04
 360444.5	 1.89351616427302E-04
 393212.5	 0
 425980.5	 0
 458748.5	 0
 491516.5	 0
 524284.5	 5.18292654305696E-04
 589820.5	 3.28015594277531E-04
 655356.5	 5.15938852913678E-04
 720892.5	 0
 786428.5	 8.11907404568046E-04
 851964.5	 1.28453757497482E-04
 917500.5	 2.98269063932821E-04
 983036.5	 2.04163079615682E-04
 1048572.5	 3.63951054168865E-04
 1179644.5	 0
 1310716.5	 0
 1441788.5	 3.62995458999649E-04
 1572860.5	 0
 1703932.5	 2.98639497486874E-04
 1835004.5	 0
 1966076.5	 0
 2097148.5	 0
 2359292.5	 0
 2621436.5	 0
 2883580.5	 3.33213683916256E-04
 3145724.5	 4.28315164754167E-04
 3407868.5	 1.44819292472675E-04
 3670012.5	 5.12094178702682E-04
 3932156.5	 0
 4194300.5	 2.55530903814361E-04
 4718588.5	 0
 5242876.5	 9.43803479458438E-06
 5767164.5	 0
 6291452.5	 0
 6815740.5	 0
 7340028.5	 0
 7864316.5	 0
 8388604.5	 1.16500828880817E-03
 9437180	 0
 10485756	 8.86473804712296E-04
 11534332	 1.55980116687715E-03
 12582908	 7.88211880717427E-04
 13631484	 2.98140308586881E-04
 14680060	 1.20538019109517E-03
 15728636	 4.61290503153577E-04
 16777212	 0
 18874364	 0
 20971516	 0
 23068668	 0
 25165820	 0
 27262972	 0
 29360124	 0
 31457276	 0
 33554428	 0
 37748732	 0
 41943036	 0
 46137340	 0
 50331644	 0
 54525948	 0
 58720252	 0
 62914556	 0
