Measurement file: 	20240823_SiO2NPs_2024_ILUM (1)
Record no: 	 69
Sample name: 	SiO2NPs_6ml_agua 2


Times (us)	ACF Data
 .5	 .854290008544922
 1	 .863329291343689
 1.5	 .861538410186768
 2	 .85884290933609
 2.5	 .857830703258514
 3	 .856154263019562
 3.5	 .852191150188446
 4	 .850515842437744
 4.5	 .849067807197571
 5.5	 .845022559165955
 6.5	 .840252637863159
 7.5	 .836471259593964
 8.5	 .832375586032867
 9.5	 .828284084796906
 10.5	 .824072957038879
 11.5	 .819641411304474
 12.5	 .81621128320694
 14.5	 .808711111545563
 16.5	 .801349341869354
 18.5	 .793464183807373
 20.5	 .78607577085495
 22.5	 .778575420379639
 24.5	 .771089792251587
 26.5	 .763730108737946
 28.5	 .756036996841431
 32.5	 .741642773151398
 36.5	 .727961301803589
 40.5	 .714027047157288
 44.5	 .700305819511414
 48.5	 .686969935894012
 52.5	 .674225389957428
 56.5	 .66112756729126
 60.5	 .649030208587646
 68.5	 .624639928340912
 76.5	 .601654171943665
 84.5	 .579094469547272
 92.5	 .557460188865662
 100.5	 .53680145740509
 108.5	 .517036557197571
 116.5	 .497506618499756
 124.5	 .47923070192337
 140.5	 .444565176963806
 156.5	 .411997526884079
 172.5	 .382060468196869
 188.5	 .354523330926895
 204.5	 .328931152820587
 220.5	 .30543115735054
 236.5	 .283306121826172
 252.5	 .263713866472244
 284.5	 .227869793772697
 316.5	 .196641609072685
 348.5	 .170092090964317
 380.5	 .147135570645332
 412.5	 .127682462334633
 444.5	 .110542587935925
 476.5	 .095956102013588
 508.5	 .08380326628685
 572.5	 6.35566264390945E-02
 636.5	 4.82446029782295E-02
 700.5	 3.68522480130196E-02
 764.5	 2.82920841127634E-02
 828.5	 2.22806241363287E-02
 892.5	 1.80745795369148E-02
 956.5	 1.44104938954115E-02
 1020.5	 1.18627194315195E-02
 1148.5	 7.67011847347021E-03
 1276.5	 5.43343648314476E-03
 1404.5	 4.22679213806987E-03
 1532.5	 4.01723710820079E-03
 1660.5	 3.39226168580353E-03
 1788.5	 2.54763197153807E-03
 1916.5	 2.83903465606272E-03
 2044.5	 2.09361827000976E-03
 2300.5	 1.31163967307657E-03
 2556.5	 5.10834995657206E-03
 2812.5	 5.68694062530994E-03
 3068.5	 2.51446408219635E-03
 3324.5	 0
 3580.5	 0
 3836.5	 6.94197951816022E-04
 4092.5	 1.84375839307904E-03
 4604.5	 0
 5116.5	 0
 5628.5	 3.91879258677363E-03
 6140.5	 2.3934249766171E-03
 6652.5	 0
 7164.5	 0
 7676.5	 0
 8188.5	 0
 9212.5	 1.6591147868894E-04
 10236.5	 8.28857766464353E-04
 11260.5	 2.63266428373754E-03
 12284.5	 1.37060938868672E-03
 13308.5	 1.37776392512023E-03
 14332.5	 3.37338796816766E-03
 15356.5	 1.03525188751519E-03
 16380.5	 0
 18428.5	 7.16422937330208E-06
 20476.5	 0
 22524.5	 7.08595674950629E-04
 24572.5	 0
 26620.5	 0
 28668.5	 1.65439571719617E-03
 30716.5	 0
 32764.5	 0
 36860.5	 0
 40956.5	 0
 45052.5	 0
 49148.5	 1.09421019442379E-03
 53244.5	 7.15853646397591E-04
 57340.5	 0
 61436.5	 0
 65532.5	 0
 73724.5	 3.07029637042433E-04
 81916.5	 2.38321445067413E-04
 90108.5	 8.01068788859993E-04
 98300.5	 0
 106492.5	 4.67769677925389E-05
 114684.5	 1.57550640869886E-03
 122876.5	 1.10149779357016E-03
 131068.5	 4.67533624032512E-04
 147452.5	 2.71436001639813E-04
 163836.5	 1.79658309207298E-04
 180220.5	 1.59769563470036E-03
 196604.5	 0
 212988.5	 7.75560256442986E-05
 229372.5	 1.82370271068066E-03
 245756.5	 3.98684132960625E-05
 262140.5	 9.1751164291054E-05
 294908.5	 1.14841124741361E-04
 327676.5	 1.14709298941307E-04
 360444.5	 0
 393212.5	 7.41505995392799E-04
 425980.5	 2.53439560765401E-04
 458748.5	 4.80812741443515E-04
 491516.5	 0
 524284.5	 1.73149004695006E-04
 589820.5	 4.73491527372971E-04
 655356.5	 3.33802658133209E-04
 720892.5	 6.31941307801753E-04
 786428.5	 0
 851964.5	 6.13244308624417E-04
 917500.5	 1.79190596099943E-04
 983036.5	 0
 1048572.5	 4.04404359869659E-04
 1179644.5	 9.14493226446211E-04
 1310716.5	 9.09110705833882E-04
 1441788.5	 9.1111205983907E-04
 1572860.5	 5.16050728037953E-04
 1703932.5	 5.66450704354793E-04
 1835004.5	 8.05297109764069E-04
 1966076.5	 7.66112469136715E-04
 2097148.5	 0
 2359292.5	 2.30231744353659E-04
 2621436.5	 2.09847450605594E-04
 2883580.5	 1.00007117725909E-03
 3145724.5	 5.0795974675566E-04
 3407868.5	 5.71417971514165E-04
 3670012.5	 1.04639830533415E-03
 3932156.5	 0
 4194300.5	 0
 4718588.5	 0
 5242876.5	 0
 5767164.5	 0
 6291452.5	 7.25037243682891E-04
 6815740.5	 0
 7340028.5	 0
 7864316.5	 0
 8388604.5	 2.06925626844168E-03
 9437180	 1.65038602426648E-03
 10485756	 2.47267168015242E-03
 11534332	 1.7350249690935E-03
 12582908	 4.18365374207497E-03
 13631484	 9.32890165131539E-04
 14680060	 1.7220766749233E-03
 15728636	 2.42959428578615E-03
 16777212	 0
 18874364	 0
 20971516	 0
 23068668	 0
 25165820	 0
 27262972	 0
 29360124	 0
 31457276	 0
 33554428	 0
 37748732	 0
 41943036	 0
 46137340	 0
 50331644	 0
 54525948	 0
 58720252	 0
 62914556	 0
