Measurement file: 	20240823_SiO2NPs_2024_ILUM (1)
Record no: 	 5
Sample name: 	SiO2NPs_5mL_EtOH


Times (us)	ACF Data
 .5	 .875427603721619
 1	 .883848369121552
 1.5	 .879906833171844
 2	 .877085149288177
 2.5	 .874344706535339
 3	 .870728969573975
 3.5	 .86782830953598
 4	 .864587187767029
 4.5	 .860456824302673
 5.5	 .853608965873718
 6.5	 .848605692386627
 7.5	 .842674016952515
 8.5	 .836865186691284
 9.5	 .830755949020386
 10.5	 .823911488056183
 11.5	 .818222284317017
 12.5	 .811765015125275
 14.5	 .801286995410919
 16.5	 .790474414825439
 18.5	 .778533756732941
 20.5	 .767647624015808
 22.5	 .756482779979706
 24.5	 .746135652065277
 26.5	 .735413551330566
 28.5	 .725146055221558
 32.5	 .705099165439606
 36.5	 .684814095497131
 40.5	 .665892958641052
 44.5	 .646257340908051
 48.5	 .628291308879852
 52.5	 .610899209976196
 56.5	 .593639433383942
 60.5	 .576928615570068
 68.5	 .544535219669342
 76.5	 .514823496341705
 84.5	 .48643547296524
 92.5	 .459319055080414
 100.5	 .433768928050995
 108.5	 .409680843353271
 116.5	 .3871228992939
 124.5	 .365973323583603
 140.5	 .326540142297745
 156.5	 .291300743818283
 172.5	 .259942412376404
 188.5	 .23213928937912
 204.5	 .207069963216782
 220.5	 .184808298945427
 236.5	 .165320619940758
 252.5	 .14797480404377
 284.5	 .117828339338303
 316.5	 9.40283760428429E-02
 348.5	 7.57599845528603E-02
 380.5	 6.10263161361218E-02
 412.5	 4.91565652191639E-02
 444.5	 3.93031127750874E-02
 476.5	 3.19067984819412E-02
 508.5	 2.61621344834566E-02
 572.5	 1.71984285116196E-02
 636.5	 1.13533735275269E-02
 700.5	 7.91666749864817E-03
 764.5	 5.36071881651878E-03
 828.5	 3.51629452779889E-03
 892.5	 2.67727486789227E-03
 956.5	 7.40470190066844E-04
 1020.5	 0
 1148.5	 0
 1276.5	 0
 1404.5	 0
 1532.5	 0
 1660.5	 5.60626103833783E-05
 1788.5	 1.1621555313468E-03
 1916.5	 1.83672236744314E-03
 2044.5	 1.09597574919462E-03
 2300.5	 1.43278995528817E-03
 2556.5	 3.16973612643778E-03
 2812.5	 1.12954550422728E-03
 3068.5	 5.2400364074856E-04
 3324.5	 0
 3580.5	 2.88702343823388E-04
 3836.5	 0
 4092.5	 4.01134020648897E-04
 4604.5	 2.85982922650874E-03
 5116.5	 1.73350214026868E-04
 5628.5	 1.53478293213993E-03
 6140.5	 5.57166524231434E-03
 6652.5	 9.01006045751274E-04
 7164.5	 0
 7676.5	 0
 8188.5	 0
 9212.5	 0
 10236.5	 0
 11260.5	 8.48481722641736E-04
 12284.5	 1.16651644930243E-03
 13308.5	 0
 14332.5	 0
 15356.5	 5.76356891542673E-04
 16380.5	 0
 18428.5	 9.10213449969888E-04
 20476.5	 8.81112180650234E-04
 22524.5	 2.62816070062399E-06
 24572.5	 2.30763619765639E-03
 26620.5	 1.9397622672841E-03
 28668.5	 0
 30716.5	 0
 32764.5	 0
 36860.5	 8.73386234161444E-05
 40956.5	 0
 45052.5	 0
 49148.5	 0
 53244.5	 0
 57340.5	 1.1139728303533E-04
 61436.5	 0
 65532.5	 0
 73724.5	 7.01312907040119E-04
 81916.5	 7.162697147578E-04
 90108.5	 3.99248412577435E-04
 98300.5	 1.18416151963174E-04
 106492.5	 0
 114684.5	 0
 122876.5	 1.44018088121811E-06
 131068.5	 0
 147452.5	 6.17733749095351E-04
 163836.5	 4.882461798843E-04
 180220.5	 0
 196604.5	 0
 212988.5	 0
 229372.5	 6.7249545827508E-04
 245756.5	 2.85514834104106E-04
 262140.5	 0
 294908.5	 5.00983442179859E-05
 327676.5	 5.45332673937082E-04
 360444.5	 0
 393212.5	 4.57997288322076E-04
 425980.5	 4.03098856622819E-05
 458748.5	 9.20723134186119E-04
 491516.5	 5.79899169679265E-05
 524284.5	 0
 589820.5	 0
 655356.5	 0
 720892.5	 0
 786428.5	 0
 851964.5	 9.69725297181867E-05
 917500.5	 0
 983036.5	 0
 1048572.5	 0
 1179644.5	 0
 1310716.5	 1.62274955073372E-04
 1441788.5	 0
 1572860.5	 4.19015414081514E-04
 1703932.5	 1.58931157784536E-04
 1835004.5	 0
 1966076.5	 7.36503934604116E-05
 2097148.5	 0
 2359292.5	 3.54454095941037E-04
 2621436.5	 0
 2883580.5	 6.76886265864596E-05
 3145724.5	 1.88455858733505E-04
 3407868.5	 3.5567456507124E-04
 3670012.5	 3.93485242966563E-04
 3932156.5	 2.70444172201678E-04
 4194300.5	 2.05635486054234E-04
 4718588.5	 0
 5242876.5	 8.27778421808034E-05
 5767164.5	 0
 6291452.5	 0
 6815740.5	 0
 7340028.5	 2.50082201091573E-04
 7864316.5	 0
 8388604.5	 0
 9437180	 0
 10485756	 8.47670089569874E-05
 11534332	 0
 12582908	 0
 13631484	 0
 14680060	 0
 15728636	 0
 16777212	 0
 18874364	 0
 20971516	 0
 23068668	 0
 25165820	 0
 27262972	 0
 29360124	 0
 31457276	 0
 33554428	 0
 37748732	 0
 41943036	 0
 46137340	 0
 50331644	 0
 54525948	 0
 58720252	 0
 62914556	 0
