Measurement file: 	20240823_SiO2NPs_2024_ILUM (1)
Record no: 	 2
Sample name: 	SiO2NPs_5mL_EtOH


Times (us)	ACF Data
 .5	 .875320613384247
 1	 .882464170455933
 1.5	 .879916310310364
 2	 .877443313598633
 2.5	 .871610581874847
 3	 .870156347751617
 3.5	 .867117941379547
 4	 .863843500614166
 4.5	 .860759317874908
 5.5	 .853845775127411
 6.5	 .847386181354523
 7.5	 .841266989707947
 8.5	 .834903836250305
 9.5	 .830626666545868
 10.5	 .824740648269653
 11.5	 .818195581436157
 12.5	 .812612354755402
 14.5	 .801066040992737
 16.5	 .789713740348816
 18.5	 .777903258800507
 20.5	 .767489314079285
 22.5	 .755653977394104
 24.5	 .744234442710876
 26.5	 .734266936779022
 28.5	 .723929107189178
 32.5	 .703690707683563
 36.5	 .683162450790405
 40.5	 .664767682552338
 44.5	 .645313501358032
 48.5	 .627141296863556
 52.5	 .609330534934998
 56.5	 .592295587062836
 60.5	 .575538754463196
 68.5	 .543416559696198
 76.5	 .513337910175323
 84.5	 .484813749790192
 92.5	 .458097547292709
 100.5	 .432692408561707
 108.5	 .408344835042953
 116.5	 .386039644479752
 124.5	 .364983409643173
 140.5	 .326216369867325
 156.5	 .291767477989197
 172.5	 .260917186737061
 188.5	 .232734486460686
 204.5	 .207970678806305
 220.5	 .185683235526085
 236.5	 .165752321481705
 252.5	 .148854583501816
 284.5	 .119210101664066
 316.5	 .096091516315937
 348.5	 7.77655765414238E-02
 380.5	 6.31344765424728E-02
 412.5	 5.13506978750229E-02
 444.5	 4.17626686394215E-02
 476.5	 3.41078341007233E-02
 508.5	 2.83819977194071E-02
 572.5	 1.97078231722116E-02
 636.5	 1.41935022547841E-02
 700.5	 1.05138961225748E-02
 764.5	 7.66378967091441E-03
 828.5	 5.63033577054739E-03
 892.5	 4.60059195756912E-03
 956.5	 3.45952226780355E-03
 1020.5	 2.03259056434035E-03
 1148.5	 1.9329950446263E-03
 1276.5	 1.70465710107237E-03
 1404.5	 2.89229233749211E-03
 1532.5	 1.99899869039655E-03
 1660.5	 2.34371772967279E-03
 1788.5	 3.76937747932971E-03
 1916.5	 3.02198249846697E-03
 2044.5	 1.85835012234747E-03
 2300.5	 9.90470056422055E-04
 2556.5	 2.12966441176832E-03
 2812.5	 2.53252754919231E-03
 3068.5	 6.15944212768227E-04
 3324.5	 5.11084392201155E-04
 3580.5	 .001332335639745
 3836.5	 1.77606346551329E-03
 4092.5	 2.22517712973058E-03
 4604.5	 4.21259226277471E-03
 5116.5	 3.07937292382121E-03
 5628.5	 9.93652734905481E-04
 6140.5	 0
 6652.5	 9.44981511565857E-05
 7164.5	 1.95536389946938E-03
 7676.5	 3.178404585924E-04
 8188.5	 1.98980094864964E-03
 9212.5	 0
 10236.5	 2.78479582630098E-03
 11260.5	 0
 12284.5	 2.45514744892716E-03
 13308.5	 5.63661626074463E-04
 14332.5	 1.29821011796594E-04
 15356.5	 0
 16380.5	 0
 18428.5	 0
 20476.5	 4.17976756580174E-04
 22524.5	 1.80083059240133E-03
 24572.5	 0
 26620.5	 0
 28668.5	 1.56606186646968E-03
 30716.5	 6.31459697615355E-05
 32764.5	 1.03929208125919E-03
 36860.5	 1.62062188610435E-03
 40956.5	 6.91877445206046E-04
 45052.5	 4.91470447741449E-04
 49148.5	 1.38126430101693E-03
 53244.5	 8.16026804386638E-05
 57340.5	 1.39373599085957E-03
 61436.5	 3.69828747352585E-04
 65532.5	 6.87420542817563E-04
 73724.5	 0
 81916.5	 5.38388558197767E-04
 90108.5	 1.61369261331856E-03
 98300.5	 5.85930538363755E-04
 106492.5	 2.66093011305202E-05
 114684.5	 5.95835444983095E-05
 122876.5	 0
 131068.5	 0
 147452.5	 1.17024210339878E-04
 163836.5	 0
 180220.5	 0
 196604.5	 6.61331636365503E-04
 212988.5	 3.82264581276104E-04
 229372.5	 2.51224817475304E-04
 245756.5	 3.00579063150508E-06
 262140.5	 4.52988024335355E-04
 294908.5	 1.09249711385928E-04
 327676.5	 4.56288980785757E-04
 360444.5	 7.43752054404467E-04
 393212.5	 4.12315799621865E-04
 425980.5	 5.95457560848445E-04
 458748.5	 0
 491516.5	 2.53851263551041E-04
 524284.5	 1.45608253660612E-04
 589820.5	 1.63773962412961E-04
 655356.5	 3.59895748260897E-05
 720892.5	 3.4677071380429E-04
 786428.5	 1.89107799087651E-04
 851964.5	 0
 917500.5	 4.85040764033329E-05
 983036.5	 1.69512553839013E-04
 1048572.5	 6.91879104124382E-05
 1179644.5	 0
 1310716.5	 0
 1441788.5	 0
 1572860.5	 0
 1703932.5	 1.92488339962438E-04
 1835004.5	 0
 1966076.5	 3.41786391800269E-04
 2097148.5	 0
 2359292.5	 0
 2621436.5	 4.46076708612964E-04
 2883580.5	 0
 3145724.5	 0
 3407868.5	 0
 3670012.5	 0
 3932156.5	 0
 4194300.5	 0
 4718588.5	 0
 5242876.5	 0
 5767164.5	 1.59512186655775E-04
 6291452.5	 0
 6815740.5	 2.58782034507021E-04
 7340028.5	 2.83246859908104E-03
 7864316.5	 4.60335781099275E-04
 8388604.5	 0
 9437180	 0
 10485756	 0
 11534332	 0
 12582908	 0
 13631484	 0
 14680060	 0
 15728636	 0
 16777212	 0
 18874364	 0
 20971516	 0
 23068668	 0
 25165820	 0
 27262972	 0
 29360124	 0
 31457276	 0
 33554428	 0
 37748732	 0
 41943036	 0
 46137340	 0
 50331644	 0
 54525948	 0
 58720252	 0
 62914556	 0
