Measurement file: 	20240823_SiO2NPs_2024_ILUM (1)
Record no: 	 73
Sample name: 	SiO2NPs_6ml_agua 1


Zeta Potential (mV)	Total Counts
-149.29475402832	 0
-145.962020874023	 0
-142.629287719727	 0
-139.296569824219	 0
-135.963836669922	 0
-132.631103515625	 0
-129.298370361328	 0
-125.965644836426	 0
-122.632911682129	 0
-119.300186157227	 0
-115.96745300293	 0
-112.634719848633	 0
-109.30199432373	 0
-105.969261169434	 0
-102.636528015137	 0
-99.3038024902344	 0
-95.9710693359375	 0
-92.6383361816406	 0
-89.3056106567383	 0
-85.9728775024414	 0
-82.6401596069336	 0
-79.3074188232422	 0
-75.9746932983398	 6790.86962890625
-72.6419677734375	 19692.498046875
-69.3092269897461	 39049.55859375
-65.9765014648438	 68905.140625
-62.6437759399414	 134282.5
-59.31103515625	 194237.046875
-55.9783096313477	 203229.390625
-52.6455841064453	 223093.421875
-49.3128433227539	 300488.4375
-45.9801177978516	 322913.5625
-42.6473922729492	 252968.71875
-39.3146514892578	 242369.15625
-35.9819297790527	 257961.5
-32.6492042541504	 203472.21875
-29.316463470459	 116575.4609375
-25.9837379455566	 44803.796875
-22.6510124206543	 10939.9501953125
-19.3182716369629	 0
-15.9855470657349	 0
-12.6528224945068	 0
-9.32008171081543	 0
-5.98735666275024	 0
-2.65463161468506	 0
 .678108811378479	 0
 4.01083374023438	 0
 7.34355878829956	 0
 10.6762990951538	 0
 14.0090246200562	 0
 17.3417491912842	 0
 20.6744899749756	 0
 24.0072154998779	 0
 27.3399391174316	 0
 30.672679901123	 0
 34.0054054260254	 0
 37.3381309509277	 0
 40.6708564758301	 0
 44.0035972595215	 0
 47.3363380432129	 0
 50.6690444946289	 0
 54.0017852783203	 0
 57.3345260620117	 0
 60.667236328125	 0
 63.9999771118164	 0
 67.3327178955078	 0
 70.6654281616211	 0
 73.9981689453125	 0
 77.3309097290039	 0
 80.6636199951172	 0
 83.9963607788086	 0
 87.3291015625	 0
 90.6618118286133	 0
 93.9945449829102	 0
 97.3272857666016	 0
 100.659996032715	 0
 103.992736816406	 0
 107.325477600098	 0
 110.658187866211	 0
 113.990928649902	 0
 117.323669433594	 0
 120.656379699707	 0
 123.989120483398	 0
 127.32186126709	 0
 130.654571533203	 0
 133.9873046875	 0
 137.320053100586	 0
 140.652755737305	 0
 143.985504150391	 0
 147.318237304688	 0
