Measurement file: 	20240823_SiO2NPs_2024_ILUM (1)
Record no: 	 75
Sample name: 	SiO2NPs_6ml_agua 3


Zeta Potential (mV)	Total Counts
-149.781143188477	 0
-146.4482421875	 0
-143.115356445313	 0
-139.782470703125	 0
-136.449569702148	 0
-133.116683959961	 0
-129.783798217773	 0
-126.450904846191	 0
-123.118011474609	 0
-119.785125732422	 0
-116.45223236084	 0
-113.119338989258	 0
-109.78645324707	 0
-106.453559875488	 0
-103.120666503906	 0
-99.7877807617188	 0
-96.4548873901367	 0
-93.1219940185547	 0
-89.7891082763672	 0
-86.4562149047852	 0
-83.1233291625977	 0
-79.7904281616211	 0
-76.4575424194336	 12091.818359375
-73.1246566772461	 34096.1953125
-69.7917556762695	 53289.3671875
-66.458869934082	 75775.7421875
-63.1259803771973	 100650.578125
-59.7930793762207	 149850.25
-56.4601936340332	 221512.890625
-53.1273078918457	 262795.78125
-49.7944068908691	 250032.3125
-46.4615211486816	 280484.875
-43.1286354064941	 362026.5625
-39.7957344055176	 306413.3125
-36.4628486633301	 165606.828125
-33.1299629211426	 71576.203125
-29.797061920166	 10586.423828125
-26.4641761779785	 0
-23.131290435791	 0
-19.7983894348145	 0
-16.465503692627	 0
-13.1326179504395	 0
-9.79971694946289	 0
-6.46683168411255	 0
-3.13394570350647	 0
 .198955237865448	 0
 3.53184103965759	 0
 6.86472702026367	 0
 10.1976280212402	 0
 13.5305137634277	 0
 16.8633995056152	 0
 20.1963005065918	 0
 23.5291862487793	 0
 26.8620719909668	 0
 30.1949729919434	 0
 33.5278587341309	 0
 36.8607444763184	 0
 40.1936302185059	 0
 43.5265312194824	 0
 46.859432220459	 0
 50.1923027038574	 0
 53.525203704834	 0
 56.8581047058105	 0
 60.190975189209	 0
 63.5238761901855	 0
 66.8567810058594	 0
 70.1896514892578	 0
 73.5225524902344	 0
 76.8554534912109	 0
 80.1883239746094	 0
 83.5212249755859	 0
 86.8541259765625	 0
 90.1869964599609	 0
 93.5198974609375	 0
 96.8527984619141	 0
 100.185668945313	 0
 103.518569946289	 0
 106.851470947266	 0
 110.184341430664	 0
 113.517242431641	 0
 116.850143432617	 0
 120.183013916016	 0
 123.515914916992	 0
 126.848815917969	 0
 130.181686401367	 0
 133.514587402344	 0
 136.84748840332	 0
 140.180358886719	 0
 143.513259887695	 0
 146.846160888672	 0
