Measurement file: 	20240823_SiO2NPs_2024_ILUM (1)
Record no: 	 9
Sample name: 	SiO2NPs_6mL_EtOH


Times (us)	ACF Data
 .5	 .864747703075409
 1	 .87303614616394
 1.5	 .872009098529816
 2	 .867657899856567
 2.5	 .868360638618469
 3	 .864507019519806
 3.5	 .863673567771912
 4	 .861138820648193
 4.5	 .859622597694397
 5.5	 .856277585029602
 6.5	 .852358281612396
 7.5	 .848882138729095
 8.5	 .844548106193542
 9.5	 .841712415218353
 10.5	 .837042272090912
 11.5	 .834532380104065
 12.5	 .830662190914154
 14.5	 .82318502664566
 16.5	 .816137433052063
 18.5	 .809262812137604
 20.5	 .802216589450836
 22.5	 .795340240001678
 24.5	 .788561105728149
 26.5	 .780993103981018
 28.5	 .774415254592896
 32.5	 .761186957359314
 36.5	 .748108625411987
 40.5	 .735808551311493
 44.5	 .722901046276093
 48.5	 .71048504114151
 52.5	 .698470234870911
 56.5	 .68649297952652
 60.5	 .674744844436646
 68.5	 .651650667190552
 76.5	 .629533767700195
 84.5	 .608656585216522
 92.5	 .587619721889496
 100.5	 .568167328834534
 108.5	 .548751056194305
 116.5	 .529818594455719
 124.5	 .511899948120117
 140.5	 .476972192525864
 156.5	 .444922387599945
 172.5	 .415035277605057
 188.5	 .386728584766388
 204.5	 .3604936003685
 220.5	 .33570858836174
 236.5	 .312823504209518
 252.5	 .29175665974617
 284.5	 .253235906362534
 316.5	 .220016852021217
 348.5	 .191415593028069
 380.5	 .166265338659286
 412.5	 .144630610942841
 444.5	 .125680863857269
 476.5	 .109443083405495
 508.5	 9.59113016724586E-02
 572.5	 7.25984126329422E-02
 636.5	 5.45277632772923E-02
 700.5	 4.04724068939686E-02
 764.5	 2.99687460064888E-02
 828.5	 2.21338216215372E-02
 892.5	 1.61369554698467E-02
 956.5	 1.14608779549599E-02
 1020.5	 8.76704696565866E-03
 1148.5	 6.77776802331209E-03
 1276.5	 6.07016915455461E-03
 1404.5	 5.4534962400794E-03
 1532.5	 5.61658293008804E-03
 1660.5	 6.73179561272264E-03
 1788.5	 5.72478538379073E-03
 1916.5	 4.04731277376413E-03
 2044.5	 1.06350833084434E-03
 2300.5	 0
 2556.5	 0
 2812.5	 1.45879352930933E-03
 3068.5	 3.50379315204918E-03
 3324.5	 1.46940781269222E-03
 3580.5	 0
 3836.5	 0
 4092.5	 0
 4604.5	 0
 5116.5	 1.65458233095706E-03
 5628.5	 0
 6140.5	 9.20639315154403E-04
 6652.5	 0
 7164.5	 6.847198237665E-04
 7676.5	 0
 8188.5	 0
 9212.5	 7.88920617196709E-04
 10236.5	 3.38174216449261E-03
 11260.5	 0
 12284.5	 0
 13308.5	 0
 14332.5	 0
 15356.5	 1.86487552127801E-04
 16380.5	 1.79288815706968E-03
 18428.5	 2.86725669866428E-04
 20476.5	 0
 22524.5	 0
 24572.5	 4.86690463731065E-04
 26620.5	 2.59214983088896E-04
 28668.5	 0
 30716.5	 0
 32764.5	 0
 36860.5	 4.14220441598445E-04
 40956.5	 5.77313650865108E-04
 45052.5	 2.83288722857833E-03
 49148.5	 0
 53244.5	 0
 57340.5	 9.21921222470701E-04
 61436.5	 0
 65532.5	 0
 73724.5	 1.71851890627295E-03
 81916.5	 1.2529797386378E-03
 90108.5	 0
 98300.5	 0
 106492.5	 0
 114684.5	 0
 122876.5	 4.54182998510078E-04
 131068.5	 1.25793769257143E-04
 147452.5	 4.20531869167462E-04
 163836.5	 2.31290847295895E-04
 180220.5	 7.73859559558332E-04
 196604.5	 1.39065290568396E-04
 212988.5	 1.36911156005226E-04
 229372.5	 1.83255193405785E-04
 245756.5	 4.8514356603846E-04
 262140.5	 0
 294908.5	 0
 327676.5	 0
 360444.5	 1.13071648229379E-04
 393212.5	 0
 425980.5	 0
 458748.5	 1.4511079643853E-04
 491516.5	 0
 524284.5	 4.58694994449615E-04
 589820.5	 3.14168391923886E-05
 655356.5	 0
 720892.5	 2.45730741880834E-04
 786428.5	 0
 851964.5	 0
 917500.5	 0
 983036.5	 0
 1048572.5	 6.70651497785002E-04
 1179644.5	 .000849868520163
 1310716.5	 1.26682600239292E-04
 1441788.5	 3.05570109048858E-04
 1572860.5	 2.92002019705251E-04
 1703932.5	 7.03379220794886E-04
 1835004.5	 2.03637944650836E-04
 1966076.5	 3.50381160387769E-04
 2097148.5	 0
 2359292.5	 0
 2621436.5	 0
 2883580.5	 0
 3145724.5	 0
 3407868.5	 1.95471147890203E-04
 3670012.5	 1.37081378852599E-05
 3932156.5	 0
 4194300.5	 5.08976867422462E-04
 4718588.5	 3.91272624256089E-04
 5242876.5	 1.07970158569515E-03
 5767164.5	 1.29108462715521E-04
 6291452.5	 1.97288536583073E-05
 6815740.5	 0
 7340028.5	 6.87487074173987E-04
 7864316.5	 9.45224019233137E-04
 8388604.5	 0
 9437180	 0
 10485756	 0
 11534332	 0
 12582908	 0
 13631484	 0
 14680060	 0
 15728636	 0
 16777212	 0
 18874364	 0
 20971516	 0
 23068668	 0
 25165820	 0
 27262972	 0
 29360124	 0
 31457276	 0
 33554428	 0
 37748732	 0
 41943036	 0
 46137340	 0
 50331644	 0
 54525948	 0
 58720252	 0
 62914556	 0
