Measurement file: 	20240823_SiO2NPs_2024_ILUM (1)
Record no: 	 8
Sample name: 	SiO2NPs_6mL_EtOH


Times (us)	ACF Data
 .5	 .862483739852905
 1	 .872385919094086
 1.5	 .869004726409912
 2	 .867826998233795
 2.5	 .866288483142853
 3	 .863313138484955
 3.5	 .860764026641846
 4	 .858550250530243
 4.5	 .857478857040405
 5.5	 .85469788312912
 6.5	 .850028812885284
 7.5	 .845792949199677
 8.5	 .842999577522278
 9.5	 .839238107204437
 10.5	 .834947943687439
 11.5	 .831989645957947
 12.5	 .828278422355652
 14.5	 .821201324462891
 16.5	 .814056634902954
 18.5	 .806968033313751
 20.5	 .799529194831848
 22.5	 .793183445930481
 24.5	 .786246776580811
 26.5	 .779092133045197
 28.5	 .772879064083099
 32.5	 .759416282176971
 36.5	 .746058940887451
 40.5	 .733189463615417
 44.5	 .720526278018951
 48.5	 .707639098167419
 52.5	 .695286929607391
 56.5	 .683425784111023
 60.5	 .671771705150604
 68.5	 .648582518100739
 76.5	 .626566290855408
 84.5	 .604537487030029
 92.5	 .584181904792786
 100.5	 .56423419713974
 108.5	 .544333636760712
 116.5	 .525837481021881
 124.5	 .507443189620972
 140.5	 .472618997097015
 156.5	 .439970463514328
 172.5	 .409496545791626
 188.5	 .380940765142441
 204.5	 .354579895734787
 220.5	 .329834789037704
 236.5	 .307145416736603
 252.5	 .286204397678375
 284.5	 .247527107596397
 316.5	 .214290663599968
 348.5	 .185423210263252
 380.5	 .159940928220749
 412.5	 .137631356716156
 444.5	 .118235573172569
 476.5	 .101701006293297
 508.5	 .087659664452076
 572.5	 6.40766993165016E-02
 636.5	 4.67464067041874E-02
 700.5	 3.40423882007599E-02
 764.5	 2.47423499822617E-02
 828.5	 1.75756718963385E-02
 892.5	 1.26228872686625E-02
 956.5	 8.82023852318525E-03
 1020.5	 6.92527741193771E-03
 1148.5	 3.58314369805157E-03
 1276.5	 1.43816054333001E-04
 1404.5	 0
 1532.5	 0
 1660.5	 4.48048231191933E-04
 1788.5	 2.13313894346356E-03
 1916.5	 .003127382369712
 2044.5	 2.94476398266852E-03
 2300.5	 1.43350777216256E-03
 2556.5	 0
 2812.5	 0
 3068.5	 0
 3324.5	 0
 3580.5	 1.08222325798124E-03
 3836.5	 0
 4092.5	 0
 4604.5	 1.70054181944579E-03
 5116.5	 2.87262140773237E-03
 5628.5	 2.09188554435968E-03
 6140.5	 0
 6652.5	 3.43249109573662E-03
 7164.5	 4.89587802439928E-03
 7676.5	 8.00779322162271E-04
 8188.5	 0
 9212.5	 0
 10236.5	 1.57038902398199E-03
 11260.5	 3.96201992407441E-03
 12284.5	 1.40607799403369E-03
 13308.5	 0
 14332.5	 0
 15356.5	 0
 16380.5	 0
 18428.5	 3.71037807781249E-04
 20476.5	 0
 22524.5	 0
 24572.5	 2.33141961507499E-03
 26620.5	 0
 28668.5	 0
 30716.5	 0
 32764.5	 0
 36860.5	 9.46832646150142E-04
 40956.5	 0
 45052.5	 0
 49148.5	 0
 53244.5	 0
 57340.5	 1.11405877396464E-03
 61436.5	 0
 65532.5	 3.64274659659714E-04
 73724.5	 0
 81916.5	 0
 90108.5	 1.51486572576687E-04
 98300.5	 2.58721993304789E-04
 106492.5	 1.15863443352282E-03
 114684.5	 1.26736517995596E-03
 122876.5	 1.12399912904948E-03
 131068.5	 2.35898027312942E-04
 147452.5	 2.42482390603982E-04
 163836.5	 7.05250364262611E-04
 180220.5	 4.28909406764433E-04
 196604.5	 0
 212988.5	 0
 229372.5	 1.91136219655164E-04
 245756.5	 0
 262140.5	 2.13232691748999E-04
 294908.5	 5.93254051636904E-04
 327676.5	 1.22754514450207E-04
 360444.5	 0
 393212.5	 1.91900908248499E-04
 425980.5	 3.87252599466592E-04
 458748.5	 4.28671162808314E-04
 491516.5	 3.20685590850189E-04
 524284.5	 0
 589820.5	 2.01420552912168E-04
 655356.5	 2.9721439932473E-04
 720892.5	 2.1470375941135E-04
 786428.5	 0
 851964.5	 0
 917500.5	 0
 983036.5	 3.92280926462263E-04
 1048572.5	 0
 1179644.5	 2.3347598471446E-05
 1310716.5	 0
 1441788.5	 0
 1572860.5	 1.54213179484941E-04
 1703932.5	 0
 1835004.5	 0
 1966076.5	 0
 2097148.5	 1.07916013803333E-04
 2359292.5	 2.55519535130588E-06
 2621436.5	 0
 2883580.5	 4.41656069597229E-04
 3145724.5	 3.13389900838956E-04
 3407868.5	 7.00445205438882E-04
 3670012.5	 3.92811343772337E-04
 3932156.5	 4.0869865915738E-04
 4194300.5	 0
 4718588.5	 0
 5242876.5	 0
 5767164.5	 0
 6291452.5	 0
 6815740.5	 0
 7340028.5	 0
 7864316.5	 0
 8388604.5	 0
 9437180	 0
 10485756	 0
 11534332	 6.74758513923734E-04
 12582908	 1.80077098775655E-04
 13631484	 0
 14680060	 0
 15728636	 0
 16777212	 0
 18874364	 0
 20971516	 0
 23068668	 0
 25165820	 0
 27262972	 0
 29360124	 0
 31457276	 0
 33554428	 0
 37748732	 0
 41943036	 0
 46137340	 0
 50331644	 0
 54525948	 0
 58720252	 0
 62914556	 0
