Measurement file: 	20240823_SiO2NPs_2024_ILUM (1)
Record no: 	 59
Sample name: 	SiO2NPs_7ml_agua 4


Times (us)	ACF Data
 .5	 .916253864765167
 1	 .92485100030899
 1.5	 .921858966350555
 2	 .919370949268341
 2.5	 .919053256511688
 3	 .916902005672455
 3.5	 .913277149200439
 4	 .913056433200836
 4.5	 .912568628787994
 5.5	 .909598290920258
 6.5	 .907939612865448
 7.5	 .902916312217712
 8.5	 .900438487529755
 9.5	 .897702932357788
 10.5	 .891457915306091
 11.5	 .89153254032135
 12.5	 .889764428138733
 14.5	 .882699012756348
 16.5	 .87658417224884
 18.5	 .871573328971863
 20.5	 .867466747760773
 22.5	 .859281420707703
 24.5	 .855376780033112
 26.5	 .849221110343933
 28.5	 .844371020793915
 32.5	 .832733690738678
 36.5	 .822036683559418
 40.5	 .812082886695862
 44.5	 .800528943538666
 48.5	 .790682852268219
 52.5	 .779894948005676
 56.5	 .770111322402954
 60.5	 .760079205036163
 68.5	 .740786194801331
 76.5	 .721791446208954
 84.5	 .703676998615265
 92.5	 .685076117515564
 100.5	 .667832434177399
 108.5	 .650478422641754
 116.5	 .633232891559601
 124.5	 .617574572563171
 140.5	 .586392164230347
 156.5	 .555914878845215
 172.5	 .52798992395401
 188.5	 .501154720783234
 204.5	 .475665479898453
 220.5	 .451451778411865
 236.5	 .428320080041885
 252.5	 .407038301229477
 284.5	 .366822570562363
 316.5	 .329775840044022
 348.5	 .296685993671417
 380.5	 .267436534166336
 412.5	 .241059809923172
 444.5	 .217750355601311
 476.5	 .196280390024185
 508.5	 .17766384780407
 572.5	 .145170286297798
 636.5	 .118994623422623
 700.5	 9.72439646720886E-02
 764.5	 7.93079063296318E-02
 828.5	 .064936526119709
 892.5	 5.39866350591183E-02
 956.5	 4.48694303631783E-02
 1020.5	 3.76285724341869E-02
 1148.5	 2.69630011171103E-02
 1276.5	 1.99779402464628E-02
 1404.5	 1.46283023059368E-02
 1532.5	 1.08163626864552E-02
 1660.5	 8.45062918961048E-03
 1788.5	 5.41332503780723E-03
 1916.5	 3.62303177826107E-03
 2044.5	 3.38951521553099E-03
 2300.5	 3.35789169184864E-03
 2556.5	 1.87581253703684E-03
 2812.5	 1.97451398707926E-03
 3068.5	 3.05491639301181E-03
 3324.5	 2.39394279196858E-03
 3580.5	 0
 3836.5	 0
 4092.5	 0
 4604.5	 0
 5116.5	 0
 5628.5	 3.32854967564344E-03
 6140.5	 1.08826067298651E-03
 6652.5	 0
 7164.5	 0
 7676.5	 0
 8188.5	 0
 9212.5	 0
 10236.5	 0
 11260.5	 0
 12284.5	 0
 13308.5	 0
 14332.5	 0
 15356.5	 0
 16380.5	 0
 18428.5	 5.01628965139389E-04
 20476.5	 0
 22524.5	 2.81589571386576E-04
 24572.5	 .002693333895877
 26620.5	 0
 28668.5	 4.10184962674975E-03
 30716.5	 1.06023822445422E-03
 32764.5	 9.5563055947423E-04
 36860.5	 0
 40956.5	 0
 45052.5	 2.00653536012396E-04
 49148.5	 0
 53244.5	 1.47608190309256E-03
 57340.5	 0
 61436.5	 2.20228428952396E-03
 65532.5	 1.01641588844359E-03
 73724.5	 4.42107411799952E-04
 81916.5	 3.80624231183901E-04
 90108.5	 0
 98300.5	 3.49549256497994E-04
 106492.5	 2.88584909867495E-04
 114684.5	 0
 122876.5	 1.17887533269823E-03
 131068.5	 8.40689986944199E-04
 147452.5	 1.08465865196195E-04
 163836.5	 0
 180220.5	 0
 196604.5	 7.2557176463306E-04
 212988.5	 0
 229372.5	 1.27336475998163E-03
 245756.5	 0
 262140.5	 0
 294908.5	 0
 327676.5	 0
 360444.5	 0
 393212.5	 0
 425980.5	 0
 458748.5	 0
 491516.5	 7.99060275312513E-04
 524284.5	 5.00144487887155E-05
 589820.5	 0
 655356.5	 0
 720892.5	 1.10156935988925E-04
 786428.5	 5.19518434884958E-05
 851964.5	 0
 917500.5	 0
 983036.5	 0
 1048572.5	 9.31699105422013E-05
 1179644.5	 6.93488284014165E-04
 1310716.5	 1.06629240326583E-03
 1441788.5	 0
 1572860.5	 4.45375801064074E-04
 1703932.5	 0
 1835004.5	 1.25711405416951E-04
 1966076.5	 1.01729948073626E-03
 2097148.5	 0
 2359292.5	 4.43577795522287E-04
 2621436.5	 1.79304435732774E-04
 2883580.5	 0
 3145724.5	 4.31345397373661E-05
 3407868.5	 0
 3670012.5	 1.08689659100492E-04
 3932156.5	 3.13639866362792E-05
 4194300.5	 5.95162564422935E-04
 4718588.5	 1.20994322060142E-04
 5242876.5	 0
 5767164.5	 0
 6291452.5	 0
 6815740.5	 7.14916444849223E-04
 7340028.5	 0
 7864316.5	 1.62877884577028E-04
 8388604.5	 3.49558889865875E-04
 9437180	 0
 10485756	 6.3337868778035E-04
 11534332	 2.61095614405349E-04
 12582908	 0
 13631484	 0
 14680060	 1.20895844884217E-03
 15728636	 1.42820249311626E-03
 16777212	 0
 18874364	 0
 20971516	 0
 23068668	 0
 25165820	 0
 27262972	 0
 29360124	 0
 31457276	 0
 33554428	 0
 37748732	 0
 41943036	 0
 46137340	 0
 50331644	 0
 54525948	 0
 58720252	 0
 62914556	 0
