Measurement file: 	20240823_SiO2NPs_2024_ILUM (1)
Record no: 	 56
Sample name: 	SiO2NPs_7ml_agua 1


Times (us)	ACF Data
 .5	 .913557350635529
 1	 .918941557407379
 1.5	 .916443169116974
 2	 .916589558124542
 2.5	 .914172410964966
 3	 .915607929229736
 3.5	 .912039399147034
 4	 .910236060619354
 4.5	 .909036040306091
 5.5	 .903898537158966
 6.5	 .90199613571167
 7.5	 .898597955703735
 8.5	 .896087288856506
 9.5	 .892040252685547
 10.5	 .891526699066162
 11.5	 .885098099708557
 12.5	 .883173942565918
 14.5	 .876305282115936
 16.5	 .87208479642868
 18.5	 .866997361183167
 20.5	 .860258162021637
 22.5	 .855244576931
 24.5	 .849580824375153
 26.5	 .842647612094879
 28.5	 .836871922016144
 32.5	 .827576160430908
 36.5	 .815070569515228
 40.5	 .8039470911026
 44.5	 .793155074119568
 48.5	 .782621026039124
 52.5	 .771163284778595
 56.5	 .761596083641052
 60.5	 .751400232315063
 68.5	 .732633590698242
 76.5	 .71241021156311
 84.5	 .693481802940369
 92.5	 .675561547279358
 100.5	 .657644927501678
 108.5	 .639618694782257
 116.5	 .623252213001251
 124.5	 .606564998626709
 140.5	 .574601471424103
 156.5	 .544198393821716
 172.5	 .515307009220123
 188.5	 .48820498585701
 204.5	 .462501525878906
 220.5	 .437701314687729
 236.5	 .414447337388992
 252.5	 .393091171979904
 284.5	 .352541983127594
 316.5	 .315686076879501
 348.5	 .282659113407135
 380.5	 .253715574741364
 412.5	 .227335914969444
 444.5	 .203419908881187
 476.5	 .182448908686638
 508.5	 .164256080985069
 572.5	 .132413148880005
 636.5	 .107325501739979
 700.5	 8.66702795028687E-02
 764.5	 7.01805800199509E-02
 828.5	 5.67403137683868E-02
 892.5	 4.54035587608814E-02
 956.5	 3.62924784421921E-02
 1020.5	 2.97230388969183E-02
 1148.5	 2.04331148415804E-02
 1276.5	 1.52631234377623E-02
 1404.5	 .011922612786293
 1532.5	 9.07718203961849E-03
 1660.5	 5.62568474560976E-03
 1788.5	 3.07471910491586E-03
 1916.5	 5.73271652683616E-04
 2044.5	 0
 2300.5	 0
 2556.5	 0
 2812.5	 9.58042859565467E-04
 3068.5	 1.11443211790174E-03
 3324.5	 9.44527913816273E-04
 3580.5	 0
 3836.5	 2.79794074594975E-03
 4092.5	 2.44504725560546E-03
 4604.5	 4.03754506260157E-03
 5116.5	 5.17998263239861E-03
 5628.5	 5.58531749993563E-03
 6140.5	 4.90499706938863E-03
 6652.5	 4.66362340375781E-03
 7164.5	 1.25681376084685E-03
 7676.5	 0
 8188.5	 5.52758225239813E-04
 9212.5	 5.64051326364279E-04
 10236.5	 4.24507260322571E-03
 11260.5	 3.47266718745232E-03
 12284.5	 2.75947246700525E-03
 13308.5	 4.38858609413728E-04
 14332.5	 5.61601109802723E-03
 15356.5	 4.10033715888858E-03
 16380.5	 2.38635204732418E-03
 18428.5	 5.93279197346419E-04
 20476.5	 1.90793361980468E-03
 22524.5	 1.14564631076064E-04
 24572.5	 0
 26620.5	 3.29011701978743E-04
 28668.5	 0
 30716.5	 0
 32764.5	 0
 36860.5	 0
 40956.5	 1.21950695756823E-03
 45052.5	 1.63101765792817E-04
 49148.5	 2.79850116930902E-03
 53244.5	 1.16941228043288E-03
 57340.5	 0
 61436.5	 0
 65532.5	 2.11179067264311E-04
 73724.5	 1.55726273078471E-04
 81916.5	 0
 90108.5	 0
 98300.5	 0
 106492.5	 2.99263512715697E-04
 114684.5	 0
 122876.5	 1.60152150783688E-03
 131068.5	 1.32139353081584E-03
 147452.5	 1.99875445105135E-04
 163836.5	 1.89852537005208E-04
 180220.5	 0
 196604.5	 0
 212988.5	 1.04543892666698E-03
 229372.5	 1.70071027241647E-03
 245756.5	 1.41005788464099E-03
 262140.5	 8.81104613654315E-04
 294908.5	 3.41050239512697E-04
 327676.5	 8.94384400453418E-04
 360444.5	 6.60749559756368E-04
 393212.5	 8.11571080703288E-05
 425980.5	 0
 458748.5	 7.27145816199481E-04
 491516.5	 1.33845477830619E-03
 524284.5	 3.77240648958832E-05
 589820.5	 0
 655356.5	 0
 720892.5	 8.21059657027945E-05
 786428.5	 0
 851964.5	 0
 917500.5	 0
 983036.5	 0
 1048572.5	 0
 1179644.5	 0
 1310716.5	 0
 1441788.5	 0
 1572860.5	 0
 1703932.5	 1.4651965466328E-04
 1835004.5	 0
 1966076.5	 0
 2097148.5	 0
 2359292.5	 0
 2621436.5	 0
 2883580.5	 0
 3145724.5	 0
 3407868.5	 0
 3670012.5	 0
 3932156.5	 0
 4194300.5	 0
 4718588.5	 0
 5242876.5	 0
 5767164.5	 0
 6291452.5	 0
 6815740.5	 0
 7340028.5	 0
 7864316.5	 0
 8388604.5	 0
 9437180	 0
 10485756	 0
 11534332	 0
 12582908	 0
 13631484	 0
 14680060	 0
 15728636	 0
 16777212	 0
 18874364	 0
 20971516	 0
 23068668	 0
 25165820	 0
 27262972	 0
 29360124	 0
 31457276	 0
 33554428	 0
 37748732	 0
 41943036	 0
 46137340	 0
 50331644	 0
 54525948	 0
 58720252	 0
 62914556	 0
